Institue,Branch,Quota,Category,Gender,Opening,Closing
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering,All India,OPEN,Neutral,101166,104584
"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR HANDICAPPEDS,KANPUR",Computer Science and Engineering,All India,OPEN,Neutral,106376,108822
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,115816,120413
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,118105,118439
"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,All India,OPEN,Neutral,120452,126926
"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering,All India,OPEN,Neutral,120869,126681
"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Engineering,All India,OPEN,Neutral,121277,123916.5
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Information Technology,All India,OPEN,Neutral,125870,133609
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Neutral,134583,138596
"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Civil Engineering,All India,OPEN,Neutral,135819,138874
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,All India,OPEN,Neutral,136912,138744
"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR HANDICAPPEDS,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,138552,140287
"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,All India,OPEN,Neutral,139231,149744
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,All India,OPEN,Neutral,139834,145245
"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Chemical Engineering,All India,OPEN,Neutral,142962,144764
"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Civil Engineering,All India,OPEN,Neutral,142995,144796
"RAJKIYA ENGINEERING COLLEGE,BANDA",Information Technology,All India,OPEN,Neutral,146177,146177
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,146775,154722
"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR HANDICAPPEDS,KANPUR",Information Technology,All India,OPEN,Neutral,150172,156096
"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Computer Science and Engineering,All India,OPEN,Neutral,152571,152571
"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Computer Science and Engineering,All India,OPEN,Neutral,152708,155551
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science Information Technology,All India,OPEN,Neutral,154502,157813
"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Computer Science and Engineering,All India,OPEN,Neutral,158484,187844
"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,All India,OPEN,Neutral,161594,161594
"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Neutral,163979,166930
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science,All India,OPEN,Neutral,165979,168926
"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR HANDICAPPEDS,KANPUR",Electronics Engineering,All India,OPEN,Neutral,169958,193950
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Information Technology,All India,OPEN,Neutral,171267,177716
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science Information Technology,All India,OPEN,Neutral,172592,181496
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Artificial Intelligence And Machine Learning,All India,OPEN,Neutral,173188,184762
"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,182058,192044
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,182422,182422
"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,All India,OPEN,Neutral,187462,187462
"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Information Technology,All India,OPEN,Neutral,191546,197913
"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Information Technology,All India,OPEN,Neutral,192700,194603
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering,All India,OPEN,Neutral,197263,209998
"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical & Electronics Engineering,All India,OPEN,Neutral,201376,215544
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Neutral,203552,206425
"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,All India,OPEN,Neutral,208090,216492
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,212576,224725
"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,217301,224348
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,All India,OPEN,Neutral,227985,231300
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Computer Engg.,All India,OPEN,Neutral,231107,244557
"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,231650,239823
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Electronics and Communication Engineering,All India,OPEN,Neutral,232962,244664
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,All India,OPEN,Neutral,235549,247159
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Artificial Inelligence (AI) And Data Science,All India,OPEN,Neutral,239863,246361
"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Information Technology,All India,OPEN,Neutral,240948,258644
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Artificial Intelligence And Machine Learning,All India,OPEN,Neutral,242020,247494
"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical Engineering,All India,OPEN,Neutral,242041,272478
"RAJKIYA ENGINEERING COLLEGE,BANDA",Electrical Engineering,All India,OPEN,Neutral,244832,259620
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Design,All India,OPEN,Neutral,245418,254971
"RAJKIYA ENGINEERING COLLEGE, BASTI",Computer Science and Engineering,All India,OPEN,Neutral,250448,256074
"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Information Technology,All India,OPEN,Neutral,252570,259039
"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR HANDICAPPEDS,KANPUR",Chemical Engineering,All India,OPEN,Neutral,254736,279955
"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,All India,OPEN,Neutral,269785,277844
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,273759,281113
"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Electrical Engineering,All India,OPEN,Neutral,275263,287480
"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Computer Science and Engineering,All India,OPEN,Neutral,279975,287048
"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electronics Engineering,All India,OPEN,Neutral,283144,299241
"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science and Engineering,All India,OPEN,Neutral,283595,296572
"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science (Hindi),All India,OPEN,Neutral,283945,301240
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Electronics Engineering,All India,OPEN,Neutral,284857,284857
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science (Hindi),All India,OPEN,Neutral,286166,299065
"RAJKIYA ENGINEERING COLLEGE, GONDA",Computer Science and Engineering,All India,OPEN,Neutral,286477,299467
"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,All India,OPEN,Neutral,288740,301272
"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,291473,302232
"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science and Engineering,All India,OPEN,Neutral,293645,390282
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Neutral,295421,302620
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science,All India,OPEN,Neutral,331554,356168
"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Information Technology,All India,OPEN,Neutral,331719,364735
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Electrical & Electronics Engineering,All India,OPEN,Neutral,332348,381718
"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Electrical Engineering,All India,OPEN,Neutral,333084,359692
"RAJKIYA ENGINEERING COLLEGE,BANDA",Mechanical Engineering,All India,OPEN,Neutral,333527.5,387435
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,334902,361569
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),All India,OPEN,Neutral,337702,363561
"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,All India,OPEN,Neutral,340597,386377
"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electrical Engineering,All India,OPEN,Neutral,343284,389027
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,All India,OPEN,Neutral,345905,362787
"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electrical Engineering,All India,OPEN,Neutral,359699,359699
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,All India,OPEN,Neutral,359920,380743
"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,361121,361121
"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,All India,OPEN,Neutral,369463,416109
"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science and Engineering,All India,OPEN,Neutral,372875,380960
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science (Hindi),All India,OPEN,Neutral,376976,385381
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Internet Of Things),All India,OPEN,Neutral,381808,423004
"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Electrical & Electronics Engineering,All India,OPEN,Neutral,388186,422792
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Business System,All India,OPEN,Neutral,390879,459710
"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electrical Engineering,All India,OPEN,Neutral,391086,406639
"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,393622,393622
"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Civil Engineering,All India,OPEN,Neutral,398037,398037
"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,All India,OPEN,Neutral,400913,420421
"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,All India,OPEN,Neutral,403699,413777
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication (Advanced Communication Technology),All India,OPEN,Neutral,408175,498151
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Mechanical Engineering,All India,OPEN,Neutral,412192,412192
"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,All India,OPEN,Neutral,415817,467348
"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Computer Science and Engineering,All India,OPEN,Neutral,427793,563961
"UNITED COLLEGE OF ENGIINEERING & RESEARCH,GREATER NOIDA,GAUTAM BUDDH NAGAR",Computer Science and Engineering,All India,OPEN,Neutral,428404,554651
"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Civil Engineering,All India,OPEN,Neutral,430524,430524
"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,432573,446941
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning)(Collaboration & Twining Program),All India,OPEN,Neutral,437324,470662
"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,440042,452427
"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Electrical Engineering,All India,OPEN,Neutral,441632,461664
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence)(Collaboration & Twining Program),All India,OPEN,Neutral,446596,458820
"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Mechanical Engineering,All India,OPEN,Neutral,448009,466364
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Collaboration & Twining Program),All India,OPEN,Neutral,453341,521697
"G.L.BAJAJ GROUP OF INSTITUTIONS,MATHURA",Computer Science and Engineering,All India,OPEN,Neutral,454681,529665
"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,All India,OPEN,Neutral,466978,502727
"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Mechanical Engineering,All India,OPEN,Neutral,477513,485227
"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Civil Engineering,All India,OPEN,Neutral,477808,479081
"ABES ENGG.COLLEGE,GHAZIABAD",Electrical & Computer Engg.,All India,OPEN,Neutral,482073,543975
"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,486126,486126
"FEROZ GANDHI INSTITUTE OF ENGINEERING &TECHNOLOGY,RAIBAREILLY",Computer Science and Engineering,All India,OPEN,Neutral,490231,534673
"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology,All India,OPEN,Neutral,490541,490541
"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,All India,OPEN,Neutral,493754,517625
"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Neutral,502964,509259
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics Engineering (VLSI Design and Technology),All India,OPEN,Neutral,506292,641107
"RAJKIYA ENGINEERING COLLEGE, BASTI",Electronics Engineering,All India,OPEN,Neutral,508486,513207
"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,511287,519615
"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering,All India,OPEN,Neutral,512082,512693
"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,522068,522068
"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Neutral,528725,615248
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",M Tech (Integrated) Computer Science and Engineering,All India,OPEN,Neutral,528761,621405
"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. & MANAGEMENT,LUCKNOW",Computer Science & Engineering (Cyber Security),All India,OPEN,Neutral,531094,531094
"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Electronics Engineering,All India,OPEN,Neutral,540121,587777
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology (Collaboration & Twining Program),All India,OPEN,Neutral,542685,602084
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Mechanical Engineering,All India,OPEN,Neutral,551156,559249
"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Neutral,559316,603295
"UNITED COLLEGE OF ENGIINEERING & RESEARCH,GREATER NOIDA,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,559639,676180
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,All India,OPEN,Neutral,563052,733335
"RAJA BALWANT SINGH ENGINEERING TECHNICAL CAMPUS,AGRA",Computer Science and Engineering,All India,OPEN,Neutral,565519,565519
"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Civil Engineering,All India,OPEN,Neutral,567879,567879
"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electrical & Electronics Engineering,All India,OPEN,Neutral,570211,639196
"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Civil Engineering,All India,OPEN,Neutral,579597,632671
"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,580985,587691
"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Neutral,587709,587709
"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,587989,742597
"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science (Hindi),All India,OPEN,Neutral,592592,702811
"BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,All India,OPEN,Neutral,597213,630010
"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Information Technology,All India,OPEN,Neutral,601486,625748
"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,608532,732645
"INDERPRASTHA ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering,All India,OPEN,Neutral,633278,675458
"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science and Engineering,All India,OPEN,Neutral,643619,705227
"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Mechanical Engineering,All India,OPEN,Neutral,649101,649101
"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science,All India,OPEN,Neutral,649887,649887
"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Mining Engineering,All India,OPEN,Neutral,663331,663331
"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Mechanical Engineering,All India,OPEN,Neutral,673779,719125
GREATER NOIDA COLLEGE,Computer Science and Engineering (Data Science),All India,OPEN,Neutral,675685,847490
"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Civil Engineering,All India,OPEN,Neutral,676738,763092
"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Mechanical Engineering,All India,OPEN,Neutral,688333,948106
"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,689604,689604
"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,699179,713854
LLOYD INSTITUTE OF ENGINEERING AND TECHNOLOGY,Computer Science and Engineering,All India,OPEN,Neutral,702141,745542
"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,All India,OPEN,Neutral,703719,742874
"PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR",Electronics and Communication Engineering,All India,OPEN,Neutral,703746,703746
"RAJKIYA ENGINEERING COLLEGE, BASTI",Electrical Engineering,All India,OPEN,Neutral,707036,784042
"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,All India,OPEN,Neutral,707134,1282968
"UNITED COLLEGE OF ENGINEERING & RESEARCH,ALLAHABAD",Computer Science and Engineering,All India,OPEN,Neutral,712454,751232
"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),All India,OPEN,Neutral,712832,771046
"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,713384,718707
"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science and Engineering,All India,OPEN,Neutral,716911,868120
"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Engineering,All India,OPEN,Neutral,722407,782738
"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science,All India,OPEN,Neutral,746230,848964
"RAJKIYA ENGINEERING COLLEGE, GONDA",Electrical Engineering,All India,OPEN,Neutral,750783,761345
"UNITED COLLEGE OF ENGINEERING & RESEARCH,ALLAHABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,753981,760687
"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Information Technology,All India,OPEN,Neutral,754870,877816
"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Artificial Inelligence (AI) And Data Science,All India,OPEN,Neutral,756683,961691
"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Internet Of Things),All India,OPEN,Neutral,761113,1235614
"AMBALIKA INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,All India,OPEN,Neutral,769283,769283
